A,Đội,Trận,Thắng,Hòa,Bại,HS,Điểm,5 trận gần nhất
1,Man City,6,4,0,2,8,12,B T T T B
2,Paris Saint-Germain,6,3,2,1,5,11,T T H B T
3,RB Leipzig,6,2,1,3,1,7,B B H T T
4,Club Brugge,6,1,1,4,-14,4,T B B B B
,,,,,,,,
1,Liverpool,6,6,0,0,11,18,T T T T T
2,Atletico,6,2,1,3,-1,7,T B B B T
3,FC Porto,6,1,2,3,-7,5,B T H B B
4,AC Milan,6,1,1,4,-3,4,B B H T B
,,,,,,,,
1,Ajax,6,6,0,0,15,18,T T T T T
2,Sporting,6,3,0,3,2,9,B T T T B
3,Dortmund,6,3,0,3,-1,9,T B B B T
4,Besiktas,6,0,0,6,-16,0,B B B B B
,,,,,,,,
1,Real Madrid,6,5,0,1,11,15,B T T T T
2,Inter,6,3,1,2,3,10,H T T T B
3,FC Sheriff,6,2,1,3,-4,7,T B B B H
4,Shakhtar Donetsk,6,0,2,4,-10,2,H B B B H
,,,,,,,,
1,Munich,6,6,0,0,19,18,T T T T T
2,Benfica,6,2,2,2,-2,8,T B B H T
3,Barcelona,6,2,1,3,-7,7,B T T H B
4,Dynamo Kyiv,6,0,1,5,-10,1,B B B B B
,,,,,,,,
1,Man United,6,3,2,1,3,11,T T H T H
2,Villarreal,6,3,1,2,3,10,B T T B T
3,Atalanta,6,1,3,2,-1,6,T B H H B
4,Young Boys,6,1,2,3,-5,5,B B B H H
,,,,,,,,
1,Lille,6,3,2,1,3,11,B H T T T
2,FC Salzburg,6,3,1,2,2,10,T T B B T
3,Sevilla,6,1,3,2,0,6,H H B T B
4,Wolfsburg,6,1,2,3,-5,5,H B T B B
,,,,,,,,
1,Juventus,6,5,0,1,4,15,T T T B T
2,Chelsea,6,4,1,1,9,13,B T T T H
3,St. Petersburg,6,1,2,3,0,5,T B B H H
4,Malmo FF,5,0,1,4,-12,1,B B
