TT,Đội,Trận,Thắng,Hòa,Bại,HS,Điểm,5 trận gần nhất
1,Man City,21,17,2,2,40,53,T T T T T
2,Chelsea,21,12,7,2,29,43,H H T H H
3,Liverpool,20,12,6,2,34,42,T T H B H
4,West Ham,21,11,4,6,12,37,B B T T T
5,Arsenal,20,11,2,7,8,35,T T T T B
6,Tottenham,18,10,3,5,3,33,T H T H T
7,Man United,19,9,4,6,3,31,T T H T B
8,Wolves,19,8,4,7,0,28,B B T H T
9,Brighton,19,6,9,4,0,27,H B T H T
10,Leicester,18,7,4,7,-2,25,H B T B T
11,Southampton,20,5,9,6,-6,24,B H T H T
12,Crystal Palace,20,5,8,7,-1,23,T H B T B
13,Brentford,20,6,5,9,-6,23,T B B T B
14,Aston Villa,19,7,1,11,-5,22,T B T B B
15,Everton,18,5,4,9,-9,19,B T B H B
16,Leeds United,19,4,7,8,-16,19,H B B B T
17,Watford,18,4,1,13,-14,13,B B B B B
18,Burnley,17,1,8,8,-11,11,H B H B B
19,Newcastle,19,1,8,10,-23,11,T B B B H
20,Norwich City,20,2,4,14,-36,10,B B B B B
